scale,metric,direction,unit,arm_a,arm_b,side_a,side_b,n,raw_delta_a_minus_b,raw_ci_lo,raw_ci_hi,a_advantage,a_adv_ci_lo,a_adv_ci_hi,separated,p_value,source
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_diheavy_encoder,COMP,OURS,1825,2.6849,0.7671,4.6027,2.6849,0.7671,4.6027,True,0.0054,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_encoder,COMP,OURS,1825,3.5616,1.5342,5.589,3.5616,1.5342,5.589,True,0.0012,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_head,COMP,OURS,1825,2.7397,0.7671,4.7671,2.7397,0.7671,4.7671,True,0.0092,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_intervene_encoder,COMP,OURS,1825,1.863,-0.0548,3.8356,1.863,-0.0548,3.8356,False,0.0606,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_replay25_encoder,COMP,OURS,1825,2.6849,0.7671,4.6027,2.6849,0.7671,4.6027,True,0.0056,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_tccaux_encoder,COMP,OURS,1825,3.2877,1.3151,5.2603,3.2877,1.3151,5.2603,True,0.0016,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_3stage_DI_wiseft_encoder,COMP,OURS,1825,4.1644,2.0822,6.137,4.1644,2.0822,6.137,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_autorgn_encoder,COMP,COMP,1825,0.4384,-1.4247,2.3014,0.4384,-1.4247,2.3014,False,0.6548,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_intervene_wiseft_f30_encoder,COMP,OURS,1825,4.5479,2.4658,6.6301,4.5479,2.4658,6.6301,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_intervene_wiseft_f50_encoder,COMP,OURS,1825,5.1507,2.9589,7.3425,5.1507,2.9589,7.3425,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_intervene_wiseft_f70_encoder,COMP,OURS,1825,5.2603,3.0685,7.5068,5.2603,3.0685,7.5068,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_noDI_encoder,COMP,OURS,1825,2.137,0.274,4.0,2.137,0.274,4.0,True,0.0236,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,full_ft_encoder,surgical_noDI_head,COMP,OURS,1825,3.0685,0.9315,5.1507,3.0685,0.9315,5.1507,True,0.0058,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,peft_dora_encoder,COMP,COMP,1825,-3.5616,-5.3151,-1.8082,-3.5616,-5.3151,-1.8082,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,peft_lora_encoder,COMP,COMP,1825,-1.863,-3.7808,0.0,-1.863,-3.7808,0.0,False,0.0538,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,pretrain_encoder,COMP,COMP,1825,-3.7808,-5.6438,-1.863,-3.7808,-5.6438,-1.863,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgery_raw_encoder,COMP,OURS,1825,-1.6438,-3.3425,0.0,-1.6438,-3.3425,0.0,False,0.056,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_3stage_DI_diheavy_encoder,COMP,OURS,1825,-0.9863,-2.6301,0.6575,-0.9863,-2.6301,0.6575,False,0.2522,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_3stage_DI_encoder,COMP,OURS,1825,-0.1096,-1.863,1.6986,-0.1096,-1.863,1.6986,False,0.9212,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_3stage_DI_head,COMP,OURS,1825,-0.9315,-2.5205,0.7123,-0.9315,-2.5205,0.7123,False,0.2626,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_3stage_DI_intervene_encoder,COMP,OURS,1825,-1.8082,-3.3973,-0.2192,-1.8082,-3.3973,-0.2192,True,0.0272,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_3stage_DI_replay25_encoder,COMP,OURS,1825,-0.9863,-2.7397,0.7123,-0.9863,-2.7397,0.7123,False,0.281,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_3stage_DI_tccaux_encoder,COMP,OURS,1825,-0.3836,-2.137,1.4247,-0.3836,-2.137,1.4247,False,0.6788,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_3stage_DI_wiseft_encoder,COMP,OURS,1825,0.4932,-1.3151,2.3014,0.4932,-1.3151,2.3014,False,0.616,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_autorgn_encoder,COMP,COMP,1825,-3.2329,-4.9863,-1.3699,-3.2329,-4.9863,-1.3699,True,0.0008,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_intervene_wiseft_f30_encoder,COMP,OURS,1825,0.8767,-0.8767,2.6849,0.8767,-0.8767,2.6849,False,0.353,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_intervene_wiseft_f50_encoder,COMP,OURS,1825,1.4795,-0.4932,3.4521,1.4795,-0.4932,3.4521,False,0.1566,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_intervene_wiseft_f70_encoder,COMP,OURS,1825,1.589,-0.4384,3.6164,1.589,-0.4384,3.6164,False,0.137,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_noDI_encoder,COMP,OURS,1825,-1.5342,-3.2183,0.1096,-1.5342,-3.2183,0.1096,False,0.0688,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,lpft_encoder,surgical_noDI_head,COMP,OURS,1825,-0.6027,-2.2466,0.9863,-0.6027,-2.2466,0.9863,False,0.4894,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,peft_lora_encoder,COMP,COMP,1825,1.6986,0.1644,3.2877,1.6986,0.1644,3.2877,True,0.036,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,pretrain_encoder,COMP,COMP,1825,-0.2192,-1.9726,1.5342,-0.2192,-1.9726,1.5342,False,0.8252,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgery_raw_encoder,COMP,OURS,1825,1.9178,0.3288,3.5616,1.9178,0.3288,3.5616,True,0.0178,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_3stage_DI_diheavy_encoder,COMP,OURS,1825,2.5753,1.0959,4.0548,2.5753,1.0959,4.0548,True,0.0002,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_3stage_DI_encoder,COMP,OURS,1825,3.4521,1.7534,5.1507,3.4521,1.7534,5.1507,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_3stage_DI_head,COMP,OURS,1825,2.6301,0.9863,4.274,2.6301,0.9863,4.274,True,0.0012,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_3stage_DI_intervene_encoder,COMP,OURS,1825,1.7534,0.1644,3.3973,1.7534,0.1644,3.3973,True,0.0352,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_3stage_DI_replay25_encoder,COMP,OURS,1825,2.5753,0.9315,4.2192,2.5753,0.9315,4.2192,True,0.003,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_3stage_DI_tccaux_encoder,COMP,OURS,1825,3.1781,1.2603,5.0411,3.1781,1.2603,5.0411,True,0.001,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_3stage_DI_wiseft_encoder,COMP,OURS,1825,4.0548,2.2466,5.863,4.0548,2.2466,5.863,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_autorgn_encoder,COMP,COMP,1825,0.3288,-1.2603,1.9726,0.3288,-1.2603,1.9726,False,0.711,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_intervene_wiseft_f30_encoder,COMP,OURS,1825,4.4384,2.7397,6.1918,4.4384,2.7397,6.1918,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_intervene_wiseft_f50_encoder,COMP,OURS,1825,5.0411,3.0137,7.1233,5.0411,3.0137,7.1233,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_intervene_wiseft_f70_encoder,COMP,OURS,1825,5.1507,3.1781,7.1781,5.1507,3.1781,7.1781,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_noDI_encoder,COMP,OURS,1825,2.0274,0.5479,3.5616,2.0274,0.5479,3.5616,True,0.008,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_dora_encoder,surgical_noDI_head,COMP,OURS,1825,2.9589,1.0411,4.8767,2.9589,1.0411,4.8767,True,0.003,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,pretrain_encoder,COMP,COMP,1825,-1.9178,-3.6712,-0.1644,-1.9178,-3.6712,-0.1644,True,0.0354,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgery_raw_encoder,COMP,OURS,1825,0.2192,-1.5342,1.9726,0.2192,-1.5342,1.9726,False,0.8326,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_3stage_DI_diheavy_encoder,COMP,OURS,1825,0.8767,-0.8219,2.6297,0.8767,-0.8219,2.6297,False,0.3294,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_3stage_DI_encoder,COMP,OURS,1825,1.7534,-0.0548,3.605,1.7534,-0.0548,3.605,False,0.0632,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_3stage_DI_head,COMP,OURS,1825,0.9315,-0.8219,2.7397,0.9315,-0.8219,2.7397,False,0.3204,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_3stage_DI_intervene_encoder,COMP,OURS,1825,0.0548,-1.6986,1.863,0.0548,-1.6986,1.863,False,0.9772,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_3stage_DI_replay25_encoder,COMP,OURS,1825,0.8767,-0.9315,2.5753,0.8767,-0.9315,2.5753,False,0.3476,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_3stage_DI_tccaux_encoder,COMP,OURS,1825,1.4795,-0.3836,3.4521,1.4795,-0.3836,3.4521,False,0.1342,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_3stage_DI_wiseft_encoder,COMP,OURS,1825,2.3562,0.4932,4.1644,2.3562,0.4932,4.1644,True,0.0122,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_autorgn_encoder,COMP,COMP,1825,-1.3699,-3.1781,0.3288,-1.3699,-3.1781,0.3288,False,0.134,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_intervene_wiseft_f30_encoder,COMP,OURS,1825,2.7397,0.8767,4.6027,2.7397,0.8767,4.6027,True,0.0034,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_intervene_wiseft_f50_encoder,COMP,OURS,1825,3.3425,1.3151,5.4795,3.3425,1.3151,5.4795,True,0.0018,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_intervene_wiseft_f70_encoder,COMP,OURS,1825,3.4521,1.3151,5.589,3.4521,1.3151,5.589,True,0.0014,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_noDI_encoder,COMP,OURS,1825,0.3288,-1.2055,1.9178,0.3288,-1.2055,1.9178,False,0.713,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,peft_lora_encoder,surgical_noDI_head,COMP,OURS,1825,1.2603,-0.8219,3.2877,1.2603,-0.8219,3.2877,False,0.2436,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgery_raw_encoder,COMP,OURS,1825,2.137,0.274,3.971,2.137,0.274,3.971,True,0.0258,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_3stage_DI_diheavy_encoder,COMP,OURS,1825,2.7945,0.9863,4.5479,2.7945,0.9863,4.5479,True,0.0034,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_3stage_DI_encoder,COMP,OURS,1825,3.6712,1.6986,5.589,3.6712,1.6986,5.589,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_3stage_DI_head,COMP,OURS,1825,2.8493,1.0198,4.6575,2.8493,1.0198,4.6575,True,0.0022,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_3stage_DI_intervene_encoder,COMP,OURS,1825,1.9726,0.1216,3.8356,1.9726,0.1216,3.8356,True,0.0406,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_3stage_DI_replay25_encoder,COMP,OURS,1825,2.7945,0.9863,4.6575,2.7945,0.9863,4.6575,True,0.0052,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_3stage_DI_tccaux_encoder,COMP,OURS,1825,3.3973,1.4795,5.3151,3.3973,1.4795,5.3151,True,0.001,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_3stage_DI_wiseft_encoder,COMP,OURS,1825,4.274,2.369,6.1918,4.274,2.369,6.1918,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_autorgn_encoder,COMP,COMP,1825,0.5479,-1.3151,2.3562,0.5479,-1.3151,2.3562,False,0.5552,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_intervene_wiseft_f30_encoder,COMP,OURS,1825,4.6575,2.7945,6.5753,4.6575,2.7945,6.5753,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_intervene_wiseft_f50_encoder,COMP,OURS,1825,5.2603,3.2329,7.2877,5.2603,3.2329,7.2877,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_intervene_wiseft_f70_encoder,COMP,OURS,1825,5.3699,3.2329,7.4521,5.3699,3.2329,7.4521,True,0.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_noDI_encoder,COMP,OURS,1825,2.2466,0.5479,3.9452,2.2466,0.5479,3.9452,True,0.0126,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,pretrain_encoder,surgical_noDI_head,COMP,OURS,1825,3.1781,1.1507,5.0959,3.1781,1.1507,5.0959,True,0.0016,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_3stage_DI_diheavy_encoder,OURS,OURS,1825,0.6575,-0.8219,2.137,0.6575,-0.8219,2.137,False,0.3946,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_3stage_DI_encoder,OURS,OURS,1825,1.5342,-0.2192,3.1781,1.5342,-0.2192,3.1781,False,0.0862,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_3stage_DI_head,OURS,OURS,1825,0.7123,-0.9315,2.3774,0.7123,-0.9315,2.3774,False,0.4202,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_3stage_DI_intervene_encoder,OURS,OURS,1825,-0.1644,-1.6438,1.2603,-0.1644,-1.6438,1.2603,False,0.8672,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_3stage_DI_replay25_encoder,OURS,OURS,1825,0.6575,-1.0411,2.3562,0.6575,-1.0411,2.3562,False,0.4598,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_3stage_DI_tccaux_encoder,OURS,OURS,1825,1.2603,-0.4932,3.0685,1.2603,-0.4932,3.0685,False,0.174,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_3stage_DI_wiseft_encoder,OURS,OURS,1825,2.137,0.274,3.9452,2.137,0.274,3.9452,True,0.019,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_autorgn_encoder,OURS,COMP,1825,-1.589,-3.2877,0.0,-1.589,-3.2877,0.0,False,0.0602,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_intervene_wiseft_f30_encoder,OURS,OURS,1825,2.5205,0.8767,4.2192,2.5205,0.8767,4.2192,True,0.0046,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_intervene_wiseft_f50_encoder,OURS,OURS,1825,3.1233,1.0411,5.1507,3.1233,1.0411,5.1507,True,0.0036,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_intervene_wiseft_f70_encoder,OURS,OURS,1825,3.2329,1.1507,5.3151,3.2329,1.1507,5.3151,True,0.0034,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_noDI_encoder,OURS,OURS,1825,0.1096,-1.3699,1.589,0.1096,-1.3699,1.589,False,0.9196,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgery_raw_encoder,surgical_noDI_head,OURS,OURS,1825,1.0411,-0.5479,2.6849,1.0411,-0.5479,2.6849,False,0.2144,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_3stage_DI_encoder,OURS,OURS,1825,0.8767,-0.8219,2.5753,0.8767,-0.8219,2.5753,False,0.3332,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_3stage_DI_head,OURS,OURS,1825,0.0548,-1.4795,1.589,0.0548,-1.4795,1.589,False,0.9728,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_3stage_DI_intervene_encoder,OURS,OURS,1825,-0.8219,-2.2466,0.5479,-0.8219,-2.2466,0.5479,False,0.2796,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_3stage_DI_replay25_encoder,OURS,OURS,1825,0.0,-1.589,1.6986,0.0,-1.589,1.6986,False,1.0,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_3stage_DI_tccaux_encoder,OURS,OURS,1825,0.6027,-1.2055,2.5205,0.6027,-1.2055,2.5205,False,0.5562,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_3stage_DI_wiseft_encoder,OURS,OURS,1825,1.4795,-0.2192,3.1233,1.4795,-0.2192,3.1233,False,0.0922,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_autorgn_encoder,OURS,COMP,1825,-2.2466,-3.8904,-0.5818,-2.2466,-3.8904,-0.5818,True,0.0092,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_intervene_wiseft_f30_encoder,OURS,OURS,1825,1.863,0.274,3.5068,1.863,0.274,3.5068,True,0.0244,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_intervene_wiseft_f50_encoder,OURS,OURS,1825,2.4658,0.5152,4.4932,2.4658,0.5152,4.4932,True,0.0168,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_intervene_wiseft_f70_encoder,OURS,OURS,1825,2.5753,0.6027,4.4932,2.5753,0.6027,4.4932,True,0.0116,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_noDI_encoder,OURS,OURS,1825,-0.5479,-2.0822,0.9863,-0.5479,-2.0822,0.9863,False,0.49,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_diheavy_encoder,surgical_noDI_head,OURS,OURS,1825,0.3836,-1.3151,2.0822,0.3836,-1.3151,2.0822,False,0.6836,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_encoder,surgical_3stage_DI_head,OURS,OURS,1825,-0.8219,-2.6849,1.0411,-0.8219,-2.6849,1.0411,False,0.3832,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_encoder,surgical_3stage_DI_intervene_encoder,OURS,OURS,1825,-1.6986,-3.3425,0.0,-1.6986,-3.3425,0.0,False,0.0498,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_encoder,surgical_3stage_DI_replay25_encoder,OURS,OURS,1825,-0.8767,-2.6849,0.9315,-0.8767,-2.6849,0.9315,False,0.356,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_encoder,surgical_3stage_DI_tccaux_encoder,OURS,OURS,1825,-0.274,-2.2466,1.6986,-0.274,-2.2466,1.6986,False,0.799,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_encoder,surgical_3stage_DI_wiseft_encoder,OURS,OURS,1825,0.6027,-1.4247,2.5753,0.6027,-1.4247,2.5753,False,0.5746,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_encoder,surgical_autorgn_encoder,OURS,COMP,1825,-3.1233,-5.0411,-1.1507,-3.1233,-5.0411,-1.1507,True,0.0016,probe_action/probe_paired_delta.json
POC-2B,act,higher,pp,surgical_3stage_DI_encoder,surgical_intervene_wiseft_f30_encoder,OURS,OURS,1825,0.9863,-0.6575,2.5753,0.9863,-0.6575,2.5753,False,0.2472,probe_action/probe_paired_delta.json
